ds,y
2007-12-10,8.004937718315858
2007-12-11,8.005215414705992
2007-12-12,8.00547550426416
2007-12-13,8.005717946152473
2007-12-14,8.005942701167879
2007-12-15,8.006149731745305
2007-12-16,8.006339001960582
2007-12-17,8.006510477533226
2007-12-18,8.006664125829095
2007-12-19,8.006799915862901
2007-12-20,8.006917818300558
2007-12-21,8.007017805461386
2007-12-22,8.007099851320207
2007-12-23,8.007163931509226
2007-12-24,8.007210023319836
2007-12-25,8.007238105704232
2007-12-26,8.007248159276902
2007-12-27,8.007240166315956
2007-12-28,8.007214110764304
2007-12-29,8.007169978230717
2007-12-30,8.007107755990724
2007-12-31,8.007027432987353
2008-01-01,8.006928999831729
2008-01-02,8.006812448803537
2008-01-03,8.006677773851338
2008-01-04,8.006524970592723
2008-01-05,8.006354036314349
2008-01-06,8.006164969971785
2008-01-07,8.005957772189248
2008-01-08,8.005732445259184
2008-01-09,8.005488993141714
2008-01-10,8.005227421463882
2008-01-11,8.00494773751884
2008-01-12,8.004649950264815
2008-01-13,8.004334070323985
2008-01-14,8.004000109981144
2008-01-15,8.003648083182311
2008-01-16,8.003278005533096
2008-01-17,8.00288989429701
2008-01-18,8.002483768393565
2008-01-19,8.002059648396274
2008-01-20,8.001617556530466
2008-01-21,8.001157516671011
2008-01-22,8.000679554339838
2008-01-23,8.000183696703347
2008-01-24,7.999669972569711
2008-01-25,7.999138412385936
2008-01-26,7.998589048234894
2008-01-27,7.998021913832133
2008-01-28,7.997437044522574
2008-01-29,7.996834477277069
2008-01-30,7.996214250688833
2008-02-01,7.995576404969677
2008-02-02,7.994920981946164
2008-02-03,7.994248025055632
2008-02-04,7.993557579341995
2008-02-05,7.992849691451478
2008-02-06,7.992124409628223
2008-02-07,7.991381783709684
2008-02-08,7.99062186512195
2008-02-09,7.989844706874934
2008-02-10,7.989050363557356
2008-02-11,7.988238891331658
2008-02-12,7.987410347928776
2008-02-13,7.986564792642734
2008-02-14,7.985702286325168
2008-02-15,7.984822891379634
2008-02-16,7.983926671755883
2008-02-17,7.983013692943897
2008-02-18,7.982084021967901
2008-02-19,7.981137727380144
2008-02-20,7.980174879254607
2008-02-21,7.979195549180585
2008-02-22,7.9781998102561085
2008-02-23,7.977187737081248
2008-02-24,7.976159405751292
2008-02-25,7.975114893849823
2008-02-26,7.974054280441596
2008-02-27,7.972977646065388
2008-02-29,7.97188507272663
2008-03-02,7.970776643889984
2008-03-05,7.9696524444717465
2008-03-06,7.9685125608321545
2008-03-07,7.9673570807675835
2008-03-08,7.966186093502594
2008-03-09,7.964999689681837
2008-03-10,7.963797961361926
2008-03-11,7.962581002003089
2008-03-12,7.9613489064607785
2008-03-13,7.960101770977097
2008-03-14,7.958839693172185
2008-03-15,7.957562772035396
2008-03-16,7.9562711079164785
2008-03-17,7.954964802516497
2008-03-18,7.953643958878765
2008-03-19,7.952308681379627
2008-03-20,7.950959075719069
2008-03-21,7.949595248911318
2008-03-22,7.9482173092752415
2008-03-23,7.946825366424729
2008-03-24,7.945419531258865
2008-03-25,7.943999915952059
2008-03-26,7.942566633944066
2008-03-27,7.941119799929891
2008-03-28,7.93965952984958
2008-03-29,7.938185940877898
2008-03-30,7.93669915141399
2008-03-31,7.9351992810707745
2008-04-01,7.933686450664422
2008-04-02,7.932160782203608
2008-04-03,7.930622398878706
2008-04-04,7.929071425050906
2008-04-05,7.927507986241181
2008-04-06,7.925932209119253
2008-04-07,7.9243442214923165
2008-04-08,7.922744152293837
2008-04-09,7.921132131572135
2008-04-10,7.9195082904789285
2008-04-11,7.917872761257788
2008-04-12,7.916225677232476
2008-04-13,7.9145671727952305
2008-04-14,7.912897383394926
2008-04-15,7.911216445525191
2008-04-16,7.909524496712408
2008-04-17,7.9078216755036514
2008-04-18,7.90610812145451
2008-04-19,7.90438397511686
2008-04-20,7.902649378026573
2008-04-21,7.900904472691085
2008-04-22,7.899149402576949
2008-04-23,7.897384312097275
2008-04-24,7.895609346599103
2008-04-25,7.893824652350722
2008-04-26,7.892030376528851
2008-04-27,7.890226667205863
2008-04-28,7.88841367333681
2008-04-29,7.886591544746467
2008-04-30,7.884760432116291
2008-05-01,7.882920486971255
2008-05-02,7.881071861666703
2008-05-03,7.879214709375105
2008-05-04,7.877349184072699
2008-05-05,7.875475440526142
2008-05-06,7.873593634279088
2008-05-07,7.871703921638646
2008-05-08,7.8698064596618735
2008-05-09,7.867901406142119
2008-05-10,7.865988919595368
2008-05-11,7.864069159246549
2008-05-12,7.862142285015685
2008-05-13,7.860208457504145
2008-05-14,7.858267837980678
2008-05-15,7.856320588367552
2008-05-16,7.8543668712265475
2008-05-17,7.852406849744892
2008-05-18,7.850440687721255
2008-05-19,7.848468549551559
2008-05-20,7.84649060021489
2008-05-21,7.844507005259206
2008-05-22,7.842517930787176
2008-05-23,7.840523543441819
2008-05-24,7.838524010392248
2008-05-25,7.836519499319265
2008-05-26,7.83451017840096
2008-05-27,7.832496216298304
2008-05-28,7.830477782140674
2008-05-29,7.8284550455113635
2008-05-30,7.8264281764330255
2008-05-31,7.824397345353146
2008-06-03,7.822362723129457
2008-06-04,7.8203244810152945
2008-06-05,7.81828279064502
2008-06-06,7.816237824019272
2008-06-07,7.8141897534903535
2008-06-08,7.812138751747516
2008-06-09,7.810084991802206
2008-06-10,7.80802864697334
2008-06-11,7.805969890872533
2008-06-12,7.803908897389322
2008-06-13,7.801845840676359
2008-06-14,7.799780895134649
2008-06-15,7.797714235398662
2008-06-16,7.795646036321572
2008-06-17,7.793576472960365
2008-06-18,7.791505720560991
2008-06-19,7.789433954543554
2008-06-20,7.787361350487397
2008-06-21,7.785288084116274
2008-06-22,7.783214331283446
2008-06-23,7.7811402679568475
2008-06-24,7.779066070204187
2008-06-25,7.77699191417808
2008-06-26,7.774917976101181
2008-06-27,7.77284443225132
2008-06-28,7.770771458946666
2008-06-29,7.7686992325308015
2008-06-30,7.7666279293579565
2008-07-02,7.7645577257781175
2008-07-03,7.76248879812222
2008-07-04,7.760421322687305
2008-07-05,7.758355475721754
2008-07-06,7.75629143341047
2008-07-07,7.754229371860095
2008-07-08,7.752169467084245
2008-07-09,7.750111894988814
2008-07-10,7.748056831357184
2008-07-11,7.746004451835572
2008-07-12,7.743954931918331
2008-08-01,7.741908446933255
2008-08-02,7.7398651720270095
2008-08-03,7.737825282150465
