ds,y,log_transformed,detrended,exponential_avg
2007-12-10,9.59076113897809,2.260800253731077,,9.59076113897809
2007-12-11,8.51959031601596,2.142368254710452,,8.876647257003336
2007-12-12,8.18367658262066,2.102141509615851,-0.5809994299175774,8.48066401449895
2007-12-13,8.07246736935477,2.0884591814438913,-0.18611071997569262,8.262959137088721
2007-12-14,7.8935720735049,2.066048766689063,-0.15633326832187766,8.072307749432555
2007-12-15,7.78364059622125,2.0520241716981666,-0.1329194168057235,7.925683163674432
2007-12-16,8.41405243249672,2.129903216726845,0.3836307317557619,8.171790511742357
2007-12-17,8.82922635473185,2.1780673952317455,0.48691989358190924,8.501797523125317
2007-12-18,8.38251828808963,2.1261483810545996,-0.15941407034976862,8.442041194027203
2007-12-19,8.06965530688617,2.0881107684682934,-0.3574780096830459,8.255666243669229
2007-12-20,7.87929148508227,2.0642379867667406,-0.23119687493708518,8.067386931117667
2007-12-21,7.76174498465891,2.049207178072924,-0.14181894088353975,7.914528638969307
2007-12-22,7.52940645783701,2.0188162150446307,-0.1940745180223855,7.721944039540924
2007-12-23,8.38526052015541,2.1264754645784922,0.49312319927163273,8.053622523896284
2007-12-24,8.62011072542292,2.154097929769776,0.44185149095114085,8.336875268847376
2007-12-25,7.85243908535751,2.060824195044003,-0.43349769162110263,8.094653481091276
2007-12-26,7.85399308722424,2.0610220759955427,-0.25485454544398234,7.974322366104207
2007-12-27,8.0519780789023,2.0859177853324953,0.1325079950742829,8.013150370620338
2007-12-28,7.92660259918138,2.0702245200363847,-0.017588655921260354,7.969876402362314
2007-12-29,7.83834331555712,2.0590275002416507,-0.10063134898981296,7.904109796239794
2007-12-30,9.70314458114435,2.2724500165963093,1.213781082516734,8.803627617615593
2007-12-31,9.38597294061934,2.239216334416796,0.41015266151240404,9.094800348538454
2008-01-01,8.29379960884682,2.11550820055411,-0.8338394346900166,8.694299930949267
2008-01-02,8.43468076984177,2.1323518693827377,-0.27013700326087253,8.564490342658264
2008-01-03,8.26204284396694,2.111671874626455,-0.06813156358490247,8.413266588805783
2008-01-04,8.10681603894705,2.0927051941170576,-0.16103051197153562,8.260041311593183
2008-01-05,7.95014988765202,2.073190782281217,-0.15618636920331586,8.105095598468166
2008-01-06,9.50925907635395,2.252265963569895,0.987184075369612,8.807177340026517
2008-01-07,8.84678466694523,2.180054078535681,0.07805345662816343,8.826981003522759
2008-01-08,8.43054538469057,2.1318614656139196,-0.4983176579726809,8.62876319392206
2008-01-09,8.2482674474469,2.1100031719220915,-0.2602650522473322,8.438515320595888
2008-01-10,8.28172399041139,2.114051158126524,-0.03845495043822744,8.360119655485388
2008-01-11,8.29279885820037,2.115387530767637,0.018535426180818604,8.32645925683896
2008-01-12,8.19918935907807,2.104035290734353,-0.05871471015187346,8.26282430795481
2008-01-13,9.99652241850332,2.30223727436249,1.1670188732427356,9.129673363254295
2008-01-14,10.1270710070787,2.315212135985357,0.6861434121920045,9.628372185173754
2008-01-15,8.93379604393486,2.189841393470194,-0.7520004459040983,9.28108411455178
2008-01-16,8.56617381363786,2.1478211700961034,-0.6428398079126119,8.92362896409352
2008-01-17,8.54772239645106,2.145664861081522,-0.13484168822353126,8.735675680271948
2008-01-18,8.39976009452414,2.128203145265721,-0.10479200701354507,8.567717887397892
2008-01-19,8.22309055116153,2.106946117865563,-0.16710046288404534,8.395404219279632
2008-01-20,8.83898679349679,2.17917225396035,0.35170764710263747,8.617195506388262
2008-01-21,10.8972021813751,2.388506075679204,1.5774423393639605,9.75719884388181
2008-01-22,9.44493807333551,2.2454789443767122,-0.28210427606695454,9.601068458608651
2008-01-23,8.92332474406756,2.1886686063012184,-0.831830255525162,9.262196601338097
2008-01-24,8.5434455625603,2.145164388089824,-0.4271238974274887,8.902821081949194
2008-01-25,8.49556089128912,2.139543778993609,-0.15854950801653978,8.699190986619156
2008-01-26,8.41737285613403,2.130297767232633,-0.06808691386045318,8.558281921376592
