timestamp,value,label
1606590884000,17.6612,0.0
1606590944000,17.6626,0.0
1606591004000,17.6614,0.0
1606591064000,17.6629,0.0
1606591124000,17.6453,0.0
1606591184000,17.6476,0.0
1606591244000,17.6489,0.0
1606591304000,17.6489,0.0
1606591364000,17.6524,0.0
1606591424000,17.6523,0.0
1606591484000,17.6542,0.0
1606591544000,17.656,0.0
1606591604000,17.6571,0.0
1606591664000,17.6567,0.0
1606591724000,17.659000000000006,0.0
1606591784000,17.6606,0.0
1606591844000,17.6617,0.0
1606591904000,17.6638,0.0
1606591964000,17.6669,0.0
1606592024000,17.6685,0.0
1606592084000,17.6688,0.0
1606592144000,17.6706,0.0
1606592204000,17.6734,0.0
1606592264000,17.6735,0.0
1606592324000,17.6777,0.0
1606592384000,17.6597,0.0
1606592444000,17.6621,0.0
1606592504000,17.6631,0.0
1606592564000,17.6647,0.0
1606592624000,17.6656,0.0
1606592684000,17.6689,0.0
1606592744000,17.6664,0.0
1606592804000,17.6483,0.0
1606592864000,17.6503,0.0
1606592924000,17.6526,0.0
1606592984000,17.6541,0.0
1606593044000,17.6545,0.0
1606593104000,17.655,0.0
1606593164000,17.6575,0.0
1606593224000,17.6599,0.0
1606593284000,17.66,0.0
1606593344000,17.6606,0.0
1606593404000,17.6611,0.0
1606593464000,17.665,0.0
1606593524000,17.6656,0.0
1606593584000,17.649,0.0
1606593644000,17.6481,0.0
1606593704000,17.6515,0.0
1606593764000,17.6627,0.0
1606593824000,17.6526,0.0
1606593884000,17.6534,0.0
1606593944000,17.6558,0.0
1606594004000,17.6574,0.0
1606594064000,17.6559,0.0
1606594124000,17.6581,0.0
1606594184000,17.6589,0.0
1606594244000,17.6608,0.0
1606594304000,17.6632,0.0
1606594364000,17.6671,0.0
1606594424000,17.6688,0.0
1606594484000,17.6727,0.0
1606594544000,17.6748,0.0
1606594604000,17.6766,0.0
1606594664000,17.6782,0.0
1606594724000,17.6616,0.0
1606594784000,17.664,0.0
1606594844000,17.666,0.0
1606594904000,17.6659,0.0
1606594964000,17.6694,0.0
1606595024000,17.6707,0.0
1606595084000,17.6712,0.0
1606595144000,17.6727,0.0
1606595204000,17.6745,0.0
1606595264000,17.6764,0.0
1606595324000,17.6771,0.0
1606595384000,17.6785,0.0
1606595444000,17.6803,0.0
1606595504000,17.6823,0.0
1606595564000,17.6835,0.0
1606595624000,17.6842,0.0
1606595684000,17.6858,0.0
1606595744000,17.6881,0.0
1606595804000,17.6893,0.0
1606595864000,17.6898,0.0
1606595924000,17.6712,0.0
1606595984000,17.6706,0.0
1606596044000,17.6711,0.0
1606596104000,17.6744,0.0
1606596164000,17.6727,0.0
1606596224000,17.6754,0.0
1606596284000,17.676,0.0
1606596344000,17.676,0.0
1606596404000,17.6778,0.0
1606596464000,17.6789,0.0
1606596524000,17.6832,0.0
1606596584000,17.6829,0.0
1606596644000,17.6848,0.0
1606596704000,17.6864,0.0
1606596764000,17.687,0.0
1606596824000,17.6896,0.0
1606596884000,17.691,0.0
1606596944000,17.694000000000006,0.0
1606597004000,17.6961,0.0
1606597064000,17.6979,0.0
1606597124000,17.6796,0.0
1606597184000,17.6799,0.0
1606597244000,17.6822,0.0
1606597304000,17.6659,0.0
1606597364000,17.6668,0.0
1606597425000,17.6666,0.0
1606597484000,17.6681,0.0
1606597544000,17.6691,0.0
1606597604000,17.672,0.0
1606597664000,17.6699,0.0
1606597724000,17.6715,0.0
1606597784000,17.6731,0.0
1606597844000,17.676,0.0
1606597904000,17.6771,0.0
1606597964000,17.6779,0.0
1606598024000,17.6787,0.0
1606598084000,17.6814,0.0
1606598144000,17.6827,0.0
1606598204000,17.6842,0.0
1606598264000,17.6837,0.0
1606598324000,17.6657,0.0
1606598384000,17.6671,0.0
1606598444000,17.6689,0.0
1606598504000,17.6696,0.0
1606598564000,17.6732,0.0
1606598624000,17.6741,0.0
1606598684000,17.6738,0.0
1606598744000,17.675,0.0
1606598804000,17.6763,0.0
1606598864000,17.6776,0.0
1606598924000,17.6791,0.0
1606598984000,17.6797,0.0
